Author,Year,Title,Alloy(at. fraction),Preparation,anneal_temperature,anneal_time,Al,Nb,Ti,V,Zr,Cr,Mo,Hf,Ta,W,x(Al),x(Nb),x(Ti),x(V),x(Zr),x(Cr),x(Mo),x(Hf),x(Ta),x(W),Phase,Phase_content,Density_error,test_temperature,strain_rate,C(0)/T(1),Density,YS,YS_error,UTS,UTS_error,EL,EL_error,SYS,HV,HV_error
Wentao Jiang,2022,A lightweight Al0.8Nb0.5Ti2V2Zr0.5 refractory high entropy alloy with high specific yield strength,Al0.8Nb0.5Ti2V2Zr0.5,AM,0,0,0.8,0.5,2,2,0.5,0,0,0,0,0,13.79,8.62,34.48,34.48,8.62,0,0,0,0,0,2,bcc_A2+Laves(C14),0,25,0.001,0,5.35,1418,35,1617,0,17.9,0,265.05,0,0
X.W. Liu,2021,A novel light-weight refractory high-entropy alloy with high specific strength and intrinsic deformability,AlNb2TiV,AM,0,0,1,2,1,1,0,0,0,0,0,0,20,40,20,20,0,0,0,0,0,0,4,bcc_B2,0,25,0.001,0,6.19,1043,0,0,0,50,0,168.5,0,0
DongXu Qiao,2019,A Novel Series of Refractory High-Entropy Alloys Ti2ZrHf0.5VNbx with High Specific Yield Strength and Good Ductility,Ti2ZrHf0.5VNb,AM,0,0,0,1,2,1,1,0,0,0.5,0,0,0,18.18,36.36,18.18,18.18,0,0,9.09,0,0,1,bcc_A2,0,25,0.001,0,6.84,980,0,0,0,50,0,143.27,310.4,0
DongXu Qiao,2019,A Novel Series of Refractory High-Entropy Alloys Ti2ZrHf0.5VNbx with High Specific Yield Strength and Good Ductility,Ti2ZrHf0.5VNb0.75,AM,0,0,0,0.75,2,1,1,0,0,0.5,0,0,0,14.29,38.1,19.05,19.05,0,0,9.52,0,0,1,bcc_A2,0,25,0.001,0,6.77,1025,0,0,0,50,0,151.4,318.9,0
DongXu Qiao,2019,A Novel Series of Refractory High-Entropy Alloys Ti2ZrHf0.5VNbx with High Specific Yield Strength and Good Ductility,Ti2ZrHf0.5VNb0.5,AM,0,0,0,0.5,2,1,1,0,0,0.5,0,0,0,10,40,20,20,0,0,10,0,0,1,bcc_A2,0,25,0.001,0,6.66,1065,0,0,0,50,0,159.91,322.5,0
DongXu Qiao,2019,A Novel Series of Refractory High-Entropy Alloys Ti2ZrHf0.5VNbx with High Specific Yield Strength and Good Ductility,Ti2ZrHf0.5VNb0.25,AM,0,0,0,0.25,2,1,1,0,0,0.5,0,0,0,5.26,42.11,21.05,21.05,0,0,10.53,0,0,1,bcc_A2,0,25,0.001,0,6.57,1115,0,0,0,50,0,169.71,332.4,0
DongXu Qiao,2019,A Novel Series of Refractory High-Entropy Alloys Ti2ZrHf0.5VNbx with High Specific Yield Strength and Good Ductility,Ti2ZrHf0.5V,AM,0,0,0,0,2,1,1,0,0,0.5,0,0,0,0,44.44,22.22,22.22,0,0,11.11,0,0,1,bcc_A2,0,25,0.001,0,6.47,1160,0,0,0,50,0,179.29,338.3,0
Yiwen Chen,2020,A single-phase V0.5Nb0.5ZrTi refractory high-entropy alloy with outstanding tensile properties,V0.5Nb0.5ZrTi,AM,0,0,0,0.5,1,0.5,1,0,0,0,0,0,0,16.67,33.33,16.67,33.33,0,0,0,0,0,1,bcc_A2,0,25,0.001,1,6.1,830,0,0,0,20.4,0,136.07,0,0
Yiwen Chen,2020,A single-phase V0.5Nb0.5ZrTi refractory high-entropy alloy with outstanding tensile properties,V0.5Nb0.5ZrTi,AM,1150,24,0,0.5,1,0.5,1,0,0,0,0,0,0,16.67,33.33,16.67,33.33,0,0,0,0,0,1,bcc_A2,0,25,0.001,1,6.1,785,0,0,0,24.5,0,128.69,0,0
Chao Xu,2024,Achieving excellent strength and ductility of Ti2ZrNbHfVx?refractory high-entropy alloys by V addition,Ti2ZrNbHfV0.2,AM,0,0,0,1,2,0.2,1,0,0,1,0,0,0,19.23,38.46,3.85,19.23,0,0,19.23,0,0,1,bcc_A2,0,25,0.001,0,7.66,709.89,0,0,0,50,0,92.676809,251.7,0
Chao Xu,2024,Achieving excellent strength and ductility of Ti2ZrNbHfVx?refractory high-entropy alloys by V addition,Ti2ZrNbHfV0.2,AM,0,0,0,1,2,0.2,1,0,0,1,0,0,0,19.23,38.46,3.85,19.23,0,0,19.23,0,0,1,bcc_A2,0,25,0.001,1,7.66,536,0,0,0,9.7,0,69.97530551,0,0
Chao Xu,2024,Achieving excellent strength and ductility of Ti3ZrNbHfVx?refractory high-entropy alloys by V addition,Ti2ZrNbHfV0.4,AM,0,0,0,1,2,0.4,1,0,0,1,0,0,0,18.52,37.04,7.41,18.52,0,0,18.52,0,0,1,bcc_A2,0,25,0.001,0,7.62,826.61,0,0,0,50,0,108.4972908,262.36,0
Chao Xu,2024,Achieving excellent strength and ductility of Ti3ZrNbHfVx?refractory high-entropy alloys by V addition,Ti2ZrNbHfV0.4,AM,0,0,0,1,2,0.4,1,0,0,1,0,0,0,18.52,37.04,7.41,18.52,0,0,18.52,0,0,1,bcc_A2,0,25,0.001,1,7.62,629,0,0,0,9.6,0,82.55984792,0,0
Chao Xu,2024,Achieving excellent strength and ductility of Ti4ZrNbHfVx?refractory high-entropy alloys by V addition,Ti2ZrNbHfV0.6,AM,0,0,0,1,2,0.6,1,0,0,1,0,0,0,17.86,35.71,10.71,17.86,0,0,17.86,0,0,1,bcc_A2,0,25,0.001,0,7.58,859.51,0,0,0,50,0,113.3961197,284.1,0
Chao Xu,2024,Achieving excellent strength and ductility of Ti4ZrNbHfVx?refractory high-entropy alloys by V addition,Ti2ZrNbHfV0.6,AM,0,0,0,1,2,0.6,1,0,0,1,0,0,0,17.86,35.71,10.71,17.86,0,0,17.86,0,0,1,bcc_A2,0,25,0.001,1,7.58,691,0,0,0,11.4,0,91.16440613,0,0
